Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
LENOVO,IdeaPad Slim ,13th Gen,16 GB,512 GB,Grey,1.55,Intel Core i7,63050,4.1,15,Windows 11
SAMSUNG,Galaxy Book4 ,13th Gen,16 GB,512 GB,Gray,1.63,Intel Core i5,53240,4.1,15.6,Windows 11
LENOVO,V14 Intel Core i5 ,13th Gen,16 GB,512 GB,Grey,1.43,Intel Core i5,47990,3.7,14,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.66,Intel Core i5,55900,5,14,Windows 11
HP,Vivobook ,13th Gen,4 GB,512 GB,Blue,2.29,Intel Core i5,66990,3.8,39.6,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.59,Intel Core i5,43611,3.7,15.6,Windows 11
ACER,Aspire 3 12th Gen ,12th Gen,8 GB,512 GB,Silver,1.65,Intel Core i3,29990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.5,Intel Core i5,51499,5,15.6,Windows 11
HP,Vivobook ,13th Gen,6 GB,256 GB,Black,1.66,Intel Core i5,37990,4,15.6,Windows 11
CHUWI,CoreBook X Laptop ,13th Gen,8 GB,256 GB,Gray,1.74,Intel Core i3,19990,3.5,15.6,Windows 11
LENOVO,14,13th Gen,4 GB,512 GB,Grey,1.55,AMD Ryzen 7,71290,4.2,15.6,Windows 11
LENOVO,14,13th Gen,6 GB,512 GB,Grey,1.55,AMD Ryzen 5,71990,4.2,15.6,Windows 11
LENOVO,IdeaPad Slim 1 AMD ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 7,41990,3.8,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,1030,4.3,24.35,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,52690,3.8,39.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.66,Intel Core i7,118499,5,15.6,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.88,AMD Ryzen 7,58990,4.2,16,Windows 11
DELL,Vostro 3530 Laptop ,13th Gen,16 GB,512 GB,Grey,1.64,Intel Core i5,51650,3.79,15.6,Windows 11
LENOVO,V15 Intel Core i3 ,13th Gen,16 GB,512 GB,Grey,1.65,Intel Core i3,36990,3.8,15.6,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 5,46300,3.8,16,Windows 11
ASUS,Vivobook Go ,13th Gen,8 GB,512 GB,Black,1.61,AMD Ryzen 3,30790,4.4,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Blue,1.66,AMD Ryzen 9,98990,3.8,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,54990,3.8,39.6,Windows 11
ASUS,Vivobook Go ,13th Gen,8 GB,512 GB,Black,1.38,AMD Ryzen 3,30990,4,14,Windows 11
LENOVO,V15 Intel Celeron N4500 ,13th Gen,8 GB,256 GB,Black,1.7,Intel Celeron,24990,3.8,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i5,47916,3,14,Windows 11
ACER,Nitro V ,13th Gen,6 GB,512 GB,Black,2.1,AMD Ryzen 5,74916,4.6,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,AMD Ryzen 7,48990,4,39.6,Windows 11
MSI,Thin ,12th Gen,16 GB,512 GB,Gray,1.63,Intel Core i5,69990,3.6,40,Windows 11
LENOVO,Smartchoice Yoga Slim 7 ,13th Gen,32 GB,512 GB,Grey,1.55,AMD Ryzen 5,147765,4.2,15,Windows 11
HP,Vivobook ,13th Gen,4 GB,512 GB,Silver,1.5,AMD Ryzen 3,31490,2.5,15.6,Windows 11
HP,Vivobook ,13th Gen,4 GB,128 GB,Black,1.66,Intel Core i5,24387,4,15.6,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.5,Intel Core i5,56999,1,15.6,Windows 11
ACER,Aspire 3 ,13th Gen,16 GB,512 GB,Silver,1.65,Intel Core i3,35930,3.1,15.6,Windows 11
LENOVO,V14 G4 ,13th Gen,16 GB,512 GB,Grey,1.57,Intel Core i3,32890,3.4,14,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,49075,3.1,15.6,Windows 11
ASUS,Gaming V16 ,14th Gen,6 GB,512 GB,Black,1.61,AMD Ryzen 7,86990,3.9,15.28,Windows 11
HP,Vivobook ,13th Gen,4 GB,128 GB,Black,1.66,Intel Core i5,23138,2.8,15.6,Windows 11
LENOVO,V15 G4 ,13th Gen,8 GB,512 GB,Grey,1.57,AMD Ryzen 3,28660,3.8,15.6,Windows 11
LENOVO,14,13th Gen,24 GB,512 GB,Grey,1.4,Intel Core i3,36850,1,14,Windows 11
LENOVO,Smartchoice Ideapad Slim 3 ,13Th Gen,16 GB,512 GB,Grey,1.55,Intel Core I7,67990,4,15.3,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,AMD Ryzen 3,32490,4,39.6,Windows 11
LENOVO,Yoga Slim 7 ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,102490,4.2,35.5,Windows 11
ASUS,Vivobook ,14th Gen,16 GB,512 GB,Silver,1.61,AMD Ryzen 7,53250,3.8,15.28,Windows 11
LENOVO,V15 Gen 4 ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 3,27860,3.6,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,2.29,Intel Core i7,102990,3.9,39.6,Windows 11
CHUWI,GemiBook Plus ,13th Gen,16 GB,512 GB,Gray,1.74,Intel Celeron,23990,3.6,15.6,Windows 11
MSI,Stealth 14 AI ,1st Gen,16 GB,512 GB,Blue,1.63,Intel Core i5,140990,2.3,36,Windows 11
LENOVO,15,13th Gen,16 GB,512 GB,Grey,1.6,AMD Ryzen 5,49908.0325581395,3.7,15.6,Windows 11
LENOVO,IdeaPad Slim 3 12th ,12th Gen,16 GB,512 GB,Grey,1.55,Intel Core i5,47490,3.9,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i7,66990,3.9,15.6,Windows 11
MSI,Raider ,12th Gen,64GB,512 GB,Black,1.63,Intel Core i5,490006,2,46,Windows 11
CHUWI,HeroBook Plus ,13th Gen,8 GB,256 GB,Gray,1.74,Intel Celeron,19990,3.4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,53000,5,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,49490,5,15.6,Windows 11
LENOVO,V15 AMD Ryzen 3 ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 3,28750,4,15.6,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 7,48990,3.4,16,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,AMD Ryzen 3,31990,3.6,15.6,Windows 11
ASUS,Vivobook ,13th Gen,12 GB,512 GB,Silver,1.61,Intel Core i3,37990,4.4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,58990,3.7,39.6,Windows 11
LENOVO,ThinkBook 16 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.7,AMD Ryzen 7,52990,3.9,16,Windows 11
ACER,SmartChoice ,13th Gen,6 GB,512 GB,Gray,1.99,Intel Core i5,62905,3.9,15.6,Windows 11
LENOVO,IdeaPad Slim ,13th Gen,24 GB,512 GB,Grey,1.55,AMD Ryzen 5,86990,3.6,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.65,Intel Core i5,66990,3.9,39.6,Windows 11
MSI,Katana ,14th Gen,16 GB,512 GB,Black,1.63,Intel Core i5,134990,3.9,40,Windows 11
MSI,Katana A15 ,8th Gen,16 GB,512 GB,Black,1.63,Intel Core i5,86430,5,40,Windows 11
ASUS,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.61,Intel Core i3,35990,4.1,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i7,64990,4,39.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,AMD Ryzen 50,42400,4.1,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.5,AMD Radeon,49908.0325581395,4.7,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.66,Intel Core i5,1499,5,24.35,Windows 11
